step,total_agents,evacuated,moving,blocked,panic,avg_stress,evacuation_rate
1,25,0,25,0,0,0.0,0.0
2,25,0,25,0,0,0.0,0.0
3,25,0,25,0,0,0.0,0.0
4,25,0,25,0,0,0.0,0.0
5,25,0,25,0,0,0.0,0.0
6,25,0,25,0,0,0.0,0.0
7,25,0,25,0,0,0.0,0.0
8,25,0,24,1,0,0.0,0.0
9,25,0,24,1,0,0.0,0.0
10,25,0,24,1,0,0.0,0.0
11,25,0,23,2,0,0.0,0.0
12,25,0,21,4,0,0.0,0.0
13,25,0,21,4,0,0.0,0.0
14,25,0,18,7,0,0.0,0.0
15,25,0,14,11,0,0.0,0.0
16,25,0,13,12,0,0.0,0.0
17,25,0,12,13,0,0.0,0.0
18,25,0,11,14,0,0.0,0.0
19,25,0,11,14,0,0.0,0.0
20,25,0,12,13,0,0.0,0.0
21,25,0,15,10,0,0.0,0.0
22,25,1,16,8,0,0.0,0.04
23,25,1,16,8,0,0.0,0.04
24,25,1,16,8,0,0.0,0.04
25,25,1,17,7,0,0.0,0.04
26,25,1,18,6,0,0.0,0.04
27,25,1,18,6,0,0.0,0.04
28,25,1,17,7,0,0.0,0.04
29,25,1,16,8,0,0.0,0.04
30,25,1,15,9,0,0.0,0.04
31,25,1,13,11,0,0.0,0.04
32,25,1,15,9,0,0.0,0.04
33,25,1,17,7,0,0.0,0.04
34,25,1,16,8,0,0.0,0.04
35,25,1,15,9,0,0.0,0.04
36,25,1,13,11,0,0.0,0.04
37,25,1,11,13,0,0.0,0.04
38,25,1,11,13,0,0.0,0.04
39,25,1,10,14,0,0.0,0.04
40,25,1,9,15,0,0.0,0.04
41,25,1,8,16,0,0.0,0.04
42,25,1,7,17,0,0.0,0.04
43,25,1,6,18,0,0.0,0.04
44,25,1,5,19,0,0.0,0.04
45,25,1,4,20,0,0.0,0.04
46,25,1,2,22,0,0.0,0.04
47,25,1,1,23,0,0.0,0.04
48,25,1,0,24,0,0.0,0.04
49,25,1,0,24,0,0.0,0.04
50,25,1,0,24,0,0.0,0.04
51,25,1,0,24,0,0.0,0.04
52,25,1,0,24,0,0.0,0.04
53,25,1,0,24,0,0.0,0.04
54,25,1,0,24,0,0.0,0.04
